Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,100548279;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,10558174;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,11061473;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,115648192;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,120681445;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,125714753;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,130747973;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,135781204;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,140814703;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,145848011;-1,328999996;-1,476999998;-0,495999992;2,047873525
0,150881242;-0,083999999;-0,096000001;0,197999999;0,235533436
0,155914414;0,025;-0,462000012;0,078000002;0,469204659
0,160947721;-0,090000004;-0,716000021;-0,187999994;0,745721146
0,165980936;-0,149000004;-0,949999988;-0,137999997;0,971465376
0,171014398;-0,152999997;-1,125;-0,370999992;1,19443501
0,176047599;-0,326999992;-1,48300004;-0,360000014;1,560710775
0,18108083;-0,495999992;-1,677000046;-0,416999996;1,797841523
0,186114138;-0,676999986;-1,922000051;-0,463;2,089684707
0,191147368;-0,690999985;-2,095000029;-0,469999999;2,255527898
0,196180829;-0,745999992;-2,22300005;-0,257999986;2,358984782
0,201214063;-0,508000016;-1,99000001;-0,672999978;2,16127116
0,206247294;-0,653999984;-2,092999935;-0,136999995;2,197073896
0,211280534;-1,011999965;-2,187999964;0,694000006;2,508609929
0,216313764;-1,018000007;-2,068000078;0,816999972;2,445493261
0,221347061;-1,029000044;-1,388000011;0,58099997;1,822894974
0,226380292;-0,930999994;-1,092000008;0,911000013;1,699748814
0,231413532;-0,967999995;-1,20599997;1,330000043;2,039696064
0,236446993;-0,836000025;-1,143000007;1,725000024;2,231808715
0,24148031;-0,423000008;-1,021000028;1,769999981;2,086688763
0,246513541;-0,086000003;-0,904999971;1,950000048;2,151492769
